date,FU596902505.A,FU596330081.A,FU596902605.A,FU596025005.A,FU596020001.A,FU596401001.A,FU596240101.A,FU596402101.A,FU596140005.A,FU596402101.A,FU596150105.A,FU596130101.A,FU596121101.A,FU593092281.A,FU596150005.A,FU596130001.A,FU596120005.A,FU596121001.A,FU596122001.A,FU593192281.A,FU596112001.A,FU596140005.A,FU596220001.A,FU596403105.A,FU596012005.A,FU596012005.A,FU596006385.A,FU596012005.A,FU595440083.A,FU595015085.A,FU595013081.A,FU596330081.A,FU595000995.A,FU596403105.A,FU596403115.A,FU596403125.A,FU596403133.A,FU596403143.A,FU596403153.A,FU596403013.A,FU596403163.A,FU596403023.A,FU596403033.A,FU596403043.A,FU596403053.A,FU595000995.A,FU594090005.A,FU594000005.A,FU593020005.A,FU593030005.A,FU594022005.A,FU593069105.A,FU593061105.A,FU593061705.A,FU593062045.A,FU593063005.A,FU594035005.A,FU594041005.A,FU593065005.A,FU593081005.A,FU593064105.A,FU593064205.A,FU593034005.A,FU593052025.A,FU593093005.A,FU594190005.A,FU595000005.A,FV598090185.A,FV592010095.A,FV598090085.A,FU597005045.A,FR592010095.A,FR595013665.A,FR595013265.A,FR595013765.A,FR594090085.A,FR594022005.A,FR593064105.A,FR593064205.A,FR593052025.A,FR594190005.A,FR598200005.A,FC592090095.A,FL592000095.A,LM592010095.A,LM595013665.A,LM595013265.A,LM595013765.A,FL594090005.A,FL594000005.A,FL593020005.A,FL593030005.A,LM594022005.A,FL593069105.A,LM593061105.A,LM593061705.A,LM593062045.A,LM593063005.A,FL594035005.A,FL594041005.A,FL593065005.A,FL593081005.A,LM593064105.A,LM593064205.A,FL593034005.A,FL593052025.A,FL593093005.A,FL592000095.A,FL594190005.A,FL592090095.A
2001,0,0,0,0,0,0,0,0,0,0,372047,312028,60019,0,372047,312028,60019,60019,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,837230,467232,244668,56922,180347,14705,372047,2049,525064,209044,103123,-1,383452,-35569,704,-36273,-85798,-3677,-30766,4744,-56,-56043,48905,52227,-3322,291389,219111,74319,-2041,207101,-42576,383564,-112,3441,0,3552,111,103,106,-3,-1,-326578,14,-302654,-266562,242624,-320834,-5642,-2202,9803978,3648,3470,80,98,9800330,83894,21346,62548,1250844,72550,275285,379334,1651,522024,871789,841055,30734,4613164,3094782,1416372,102010,2869940,110699,9803978,9890796,-86818
2002,0,0,0,0,0,0,0,0,0,0,397831,336839,60992,0,397831,336839,60992,60992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884481,488634,290510,25562,187525,14963,397831,1984,541594,229878,113009,0,371541,-1332,2197,-3529,-106118,3400,-25121,-23272,-863,-60262,34719,33253,1466,183380,52184,117845,13351,257717,3175,371564,-23,822,0,845,23,99,102,-3,-1,-261581,44654,-488299,-180989,363053,-265883,4401,5223,9913947,3770,3610,72,88,9910177,82562,23543,59019,1168380,54950,260859,366745,837,484989,877508,845308,32200,4117256,2618667,1333228,165361,3490597,173874,9913947,9995542,-81595
2003,0,0,0,0,0,0,0,0,0,0,414354,349476,64878,0,414354,349476,64878,64878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916361,503983,339027,-12122,192185,15107,414354,1976,541926,248615,125820,0,525930,6346,4367,1979,146690,-8853,18202,115706,3683,17952,25086,29375,-4289,-128073,-148603,40069,-19539,464629,11252,525958,-28,-2802,0,-2774,28,100,97,1,2,419832,-9597,830568,288627,-689766,419387,545,-2257,10818122,3897,3751,66,80,10814225,88908,27910,60998,1305473,46097,272802,476170,4552,505852,902594,874683,27911,5108378,3300632,1661924,145822,3223746,185126,10818122,10901974,-83852
2004,0,0,0,0,0,0,0,0,0,0,421317,343916,77401,0,421317,343916,77401,77401,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,958613,539378,331040,17678,207724,17064,421317,2082,590751,246040,121823,-1,525801,-4402,229,-4631,107254,-4524,9517,34502,266,67493,43740,47383,-3643,178222,93016,96845,-11639,187914,13073,526056,-255,1115,0,1369,254,367,365,2,0,168509,-9331,368923,123945,-315028,167735,1141,2255,11788449,4518,4372,70,76,11783931,84506,28139,56367,1403396,41573,279092,507333,4930,570468,946334,922066,24268,5779468,3762571,1882714,134183,3372028,198199,11788449,11870046,-81597
2005,0,0,0,0,0,0,0,0,0,0,435002,344293,90709,0,435002,344293,90709,90709,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1000310,567626,347363,15847,222882,18466,435002,2318,628558,245548,126205,-1,503399,7117,860,6257,51538,6459,15310,11530,-3164,21403,46195,49328,-3133,-17445,-81977,55412,9120,417057,-1063,503611,-212,-8069,0,-7858,211,467,462,1,4,250422,-16937,249931,275013,-257585,249372,1517,-6553,12566825,5197,5047,72,78,12561628,91623,28999,62624,1437997,48032,291525,513899,1746,582795,979554,958419,21135,6286967,3930525,2213139,143303,3568351,197136,12566825,12654975,-88150
2006,0,0,0,0,0,0,0,0,0,0,458944,353386,105558,0,458944,353386,105558,105558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065064,608646,370292,12878,247328,21852,458944,2526,706871,233297,124896,0,520624,1045,128,917,104513,7475,4585,29504,-63,63012,66064,40831,25233,-24829,-87956,53056,10071,305855,67976,520749,-125,-31043,0,-30918,125,419,420,0,-1,326686,-43078,506271,261353,-397860,326037,1068,-29975,13402176,5740,5592,76,72,13396436,65668,34127,31541,1493432,69507,306326,447225,1685,668689,1030618,984250,46368,6602762,3848840,2547548,206374,3608844,595112,13402176,13520301,-118125
2007,0,0,0,0,0,0,0,0,0,0,487822,366339,121483,0,487822,366339,121483,121483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135982,650915,390062,17447,267318,23912,487822,2755,773044,235665,127273,0,506345,1811,-1347,3158,93267,4108,-10999,-40161,-194,140513,59384,44477,14907,33913,8252,20446,5215,278716,39254,506622,-277,-24402,0,-24125,277,231,232,-1,-1,173884,25962,173958,154881,-180917,170927,3188,-21214,14153825,6246,6082,96,68,14147579,67479,32780,34699,1612661,73615,307722,413371,1370,816583,1090002,1028727,61275,6965514,4031050,2722875,211589,3777557,634366,14153825,14293164,-139339
2008,0,0,0,0,0,0,0,0,0,0,541650,412034,129616,0,541650,412034,129616,129616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216194,677352,453583,-28948,273341,20624,541651,2809,766530,265467,184197,0,441505,-4706,216,-4922,-118495,-1104,-17408,-33091,-131,-66761,65056,87002,-21946,340084,277890,50641,11553,188032,-28466,441817,-312,17301,0,17613,312,384,374,7,3,-1163618,-16666,-1647953,-940180,1441181,-1162560,-675,16626,13485359,6941,6669,170,102,13478418,62773,32996,29777,1477500,72511,312021,371349,1112,720507,1155058,1115729,39329,4717465,2660987,1833336,223142,5459722,605900,13485359,13608072,-122713
2009,0,0,0,0,0,0,0,0,0,0,567200,449148,118052,0,567200,449148,118052,118052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236441,672643,467244,-47726,271006,17881,567201,3403,762227,284531,189683,0,594242,4748,2165,2583,26468,662,44212,-78405,93,59906,66116,70471,-4355,-107702,-148139,58627,-18190,574755,29857,594423,-181,-10669,0,-10488,181,-308,-300,-5,-3,544361,30181,686248,463214,-635282,545338,-1285,-11954,14553076,6813,6419,224,170,14546263,67521,35161,32360,1534149,73173,323905,312985,1307,822779,1221174,1186200,34974,5759225,3199096,2355177,204952,5328437,635757,14553076,14687743,-134667
2010,0,0,0,0,0,0,0,0,0,0,550424,434876,115548,0,550424,434876,115548,115548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248424,702541,503815,-62237,280639,19676,550423,4540,831927,263723,152774,0,567969,960,1709,-749,107418,3251,49367,14031,640,40129,80211,77293,2918,16356,-22688,49308,-10264,333634,29390,568202,-233,-1801,0,-1568,233,1,3,-1,-1,340516,28177,469965,254100,-411726,340646,-129,-1930,15922747,7047,6433,306,308,15915700,68481,36870,31611,1669744,76424,375596,334326,1921,881477,1301385,1263493,37892,6499646,3646373,2658585,194688,5711297,665147,15922747,16059344,-136597
2011,0,0,0,0,0,0,0,0,0,0,556243,440349,115894,0,556243,440349,115894,115894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263885,712448,525651,-87401,294586,20388,556242,4805,863234,245924,154727,0,448593,7518,5478,2040,-4844,2302,14052,-52948,-551,32301,92134,95484,-3350,-48947,-21469,-41533,14055,344139,58593,448838,-246,-4182,0,-3936,246,238,236,2,0,-68351,50474,-76510,-83845,41530,-68111,-2,-4184,16320005,7531,6623,384,524,16312474,75999,42348,33651,1715374,78726,412920,288568,1532,933628,1393519,1358977,34542,6288593,3548394,2532193,208006,6127595,711394,16320005,16460786,-140781
2012,0,0,0,0,0,0,0,0,0,0,579040,450314,128726,0,579040,450314,128726,128726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303047,729071,538895,-99237,311100,21687,579039,5063,943561,212748,146738,0,463638,1657,3945,-2288,200030,-1744,95853,-11641,83,117479,51401,52469,-1068,-73096,-40229,-18661,-14206,252365,31281,464198,-560,-13686,0,-13126,560,80,89,-3,-7,392434,25911,498271,295792,-427540,392632,-118,-13804,17154820,8171,6675,496,1000,17146649,77656,46293,31363,1941315,76982,502054,285401,1654,1075224,1444920,1411446,33474,7009560,4006436,2809324,193800,5930523,742675,17154820,17309404,-154584
2013,0,0,0,0,0,0,0,0,0,0,595543,453414,142129,0,595543,453414,142129,142129,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1378315,788499,547078,-65243,329804,23140,595543,5727,1049543,201714,127057,1,470176,9777,3707,6070,134793,10199,18416,-5369,871,110676,100662,105358,-4696,-256694,-424541,149353,18494,451745,29893,469894,282,-20826,0,-21107,-281,187,189,-5,2,706843,-106962,1125649,458389,-770233,707194,-164,-20989,19408965,8077,6717,458,902,19400888,87433,50000,37433,1969146,87181,488462,263674,2382,1127447,1545582,1516804,28778,8336904,4707544,3417066,212294,6689255,772568,19408965,19584538,-175573
2014,0,0,0,0,0,0,0,0,0,0,608788,455552,153236,0,608788,455552,153236,153236,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1423842,821185,557455,-64271,352848,24847,608788,6131,1107561,195253,121029,-1,319078,6916,5765,1151,148340,476,24610,19986,-178,103446,92217,88821,3396,-213531,-271512,59604,-1623,256312,28824,318884,194,-9875,0,-10070,-195,153,158,-3,-3,277557,47561,371974,146812,-288790,277793,-83,-9959,20113241,8037,6739,424,874,20105204,94349,55765,38584,2165047,87657,528716,289587,2393,1256694,1637799,1605625,32174,8642159,4808006,3623482,210671,6764458,801392,20113241,20298774,-185533
2015,0,0,0,0,0,0,0,0,0,0,626354,465811,160543,0,626354,465811,160543,160543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475418,855551,591874,-89982,380165,26506,626354,6487,1160526,173552,141340,0,325031,-492,3632,-4124,-4557,-3617,-33644,-11698,125,44277,87467,89650,-2183,7789,-6623,17211,-2799,246844,-12020,324991,40,14742,0,14702,-40,106,124,-10,-8,-103801,-56901,-90614,-88986,132700,-103746,51,14792,20419300,8104,6700,408,996,20411196,93857,59397,34460,2103589,84040,487306,267986,2522,1261735,1725266,1695275,29991,8470348,4710769,3551707,207872,7228764,789372,20419300,20590040,-170740
2016,0,0,0,0,0,0,0,0,0,0,633454,466658,166796,0,633454,466658,166796,166796,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1512672,886067,628646,-114048,400550,29081,633454,6849,1176519,169371,166781,1,333582,-1033,-843,-190,55091,11223,68875,10943,248,-36198,108846,102062,6784,-229224,-212613,-32153,15542,336150,63752,333709,-127,29817,0,29945,128,88,103,-9,-7,364132,12615,414064,250292,-312839,363964,256,30074,21245705,8320,6670,410,1240,21237385,92824,58554,34270,2171295,95263,547440,277156,2722,1248714,1834112,1797337,36775,8905480,4912220,3769846,223414,7380550,853124,21245705,21386371,-140667
2017,0,0,0,0,0,0,0,0,0,0,655459,475649,179810,0,655459,475649,179810,179810,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1571243,923325,699046,-172558,428281,31444,655459,7541,1248876,154444,167922,1,482346,-2315,-5579,3264,198424,1596,117202,34032,656,44938,65103,68325,-3222,-68616,-108520,42327,-2423,171657,118093,482528,-182,25547,0,25730,183,149,155,4,-10,790156,23698,940341,555822,-729705,789894,410,25958,22655790,8651,6797,452,1402,22647139,90509,52975,37534,2393417,96859,664256,312258,3449,1316595,1899215,1865662,33553,10333027,5744041,4367995,220991,6959754,971217,22655790,22770499,-114709
2018,0,0,0,0,0,0,0,0,0,0,672358,491168,181190,0,672358,491168,181190,181190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639159,975423,669760,-122134,459911,32114,672358,8622,1328558,152289,158312,0,288836,-12271,-6862,-5409,137568,-7152,77604,25340,695,41081,161112,158533,2579,-196378,-183895,-9692,-2791,206389,-7584,288309,527,15458,0,14932,-527,319,345,0,-26,-411428,-94884,-341500,-316822,341778,-411512,403,15861,22645724,8443,6991,396,1056,22637281,78238,46113,32125,2436101,89707,762092,355678,4078,1224546,2060327,2024195,36132,9478327,5218646,4041481,218200,7620655,963633,22645724,22744572,-98848
2019,0,0,0,0,0,0,0,0,0,0,688241,499055,189186,0,688241,499055,189186,189186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711076,1032207,697130,-122791,491672,33804,688241,9372,1414134,143156,153786,0,410267,433,11533,-11100,-90040,-7062,20006,35620,-1000,-137604,125394,127384,-1990,-162869,-219050,32514,23667,284684,252665,409936,331,-24473,0,-24804,-331,226,247,-7,-15,1152838,170602,1199867,765793,-983424,1202641,-49577,-74050,24457282,8338,7096,356,886,24448944,65951,47173,18778,2582130,47660,796732,403553,51,1334134,2181741,2150581,31160,10784327,5887962,4692756,203609,7127185,1707610,24457282,24630180,-172898
2020,0,0,0,0,0,0,0,0,0,0,672968,466852,206116,0,672968,466852,206116,206116,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1723115,1060277,731818,-146285,509961,35217,672968,10130,1546338,112833,63945,-1,380564,2659,2423,236,165409,1719,5632,40292,-11,117777,149579,149311,268,-123619,-165053,16610,24824,238103,-51567,380356,208,75773,0,75564,-209,118,123,1,-7,906237,118994,1005586,603539,-821882,976852,-70497,5274,25910183,8248,7112,326,810,25901935,68610,49596,19014,2866533,49379,839574,441135,42,1536403,2331320,2299892,31428,12244833,6703495,5312905,228433,6645890,1744749,25910183,26077807,-167624
