date,FU856902505.A,FU856330085.A,FU856902605.A,FU856025005.A,FU856020005.A,FU856401005.A,FU856240105.A,FU856402105.A,FU856140005.A,FU856402105.A,FU856150105.A,FU856130105.A,FU856121105.A,FU853092285.A,FU856150005.A,FU856130005.A,FU856120005.A,FU856121005.A,FU856122005.A,FU853192285.A,FU856112005.A,FU856140005.A,FU856220005.A,FU856403005.A,FU856012005.A,FU856012005.A,FU856006385.A,FU856012005.A,FU855440085.A,FU855015085.A,FU855013085.A,FU856330085.A,FU855000995.A,FU855000995.A,FU854090005.A,FU854000005.A,FU854022005.A,FU853069175.A,FU853061105.A,FU853061705.A,FU853062005.A,FU853063005.A,FU854035005.A,FU854041005.A,FU814042005.A,FU813081005.A,FU813064105.A,FU813034005.A,FU813092405.A,FU803092105.A,FU793094605.A,FU733040005.A,FU853096005.A,FU854194005.A,FU403197033.A,FU814122005.A,FU423161705.A,FU813163005.A,FU813169105.A,FU814135005.A,FU814141005.A,FU803192305.A,FU853181005.A,FU634090005.A,FU813164105.A,FU653164205.A,FU403192405.A,FU803192105.A,FU662090003.A,FU803194605.A,FU503194205.A,FU813196005.A,FU855000005.A,FV858090185.A,FV812010095.A,FV858090085.A,FU857005045.A,FR812010095.A,FR815013665.A,FR815013265.A,FR815013765.A,FR854090085.A,FR854022005.A,FR803092305.A,FR813064105.A,FR803092105.A,FR814190085.A,FR803192305.A,FR813164105.A,FR653164205.A,FR803192105.A,FR662090003.A,FR803194605.A,FR858200005.A,FC852090095.A,FL852000095.A,LM812010095.A,LM815013665.A,LM815013265.A,LM815013765.A,FL854090005.A,FL854000005.A,FL854022005.A,FL853069175.A,FL853061105.A,FL853061705.A,FL853062005.A,FL853063005.A,FL854035005.A,FL854041005.A,FL814042005.A,FL813065005.A,FL803092305.A,FL813081005.A,LM813064105.A,FL813034005.A,FL813092405.A,FL803092105.A,FL793094605.A,FL733040005.A,FL853096005.A,FL852100005.A,FL854194005.A,FL403197033.A,FL814122005.A,FL423161705.A,FL813163005.A,FL813169105.A,FL814135005.A,FL814141005.A,FL803192305.A,FL853181005.A,FL634090005.A,LM813164105.A,LM653164205.A,FL403192405.A,FL803192105.A,LM662090003.A,FL803194605.A,FL503194205.A,FL813196005.A,FL852090095.A
2001,410079,67279,342799,255960,216086,39874,16088,70752,79254,70752,922843,858050,56500,8293,914341,780612,136415,83268,53147,-2686,0,79254,20728,5941,52584,52584,52584,52584,0,28793,96073,67279,23791,23791,2291655,165449,743558,-49348,72640,490862,72087,157317,780292,289459,490833,320630,181222,50036,0,15452,73920,0,281727,2219988,8561,857048,642687,215754,-1393,240231,237271,2960,707452,440062,21975,191495,3276,9885,4623,36136,0,406696,71667,18045,-3348,-26483,-47876,3966,10521,-6010,-545,-646022,24383,-211,-646684,-23510,-807693,1,-166381,-621278,-20035,0,0,165637,236266,21080363,596621,323137,232669,40815,20483742,605479,5235147,1021440,295428,2060370,691917,1165992,7637323,3528104,4109219,4100653,8566,5020047,3624403,164110,0,118530,1113004,0,1985746,21080363,22223832,25661,8298694,4962349,2191318,1145027,2037654,2020533,17121,9709225,2285310,2142429,4689603,37088,102491,19232,433072,0,2152598,-1143469
2002,423499,68198,355301,241218,201924,39294,17126,96957,113273,96957,675208,615276,58659,1273,658893,533350,125567,77657,47910,-25,0,113273,20100,12167,81006,81006,81006,81006,0,26069,94267,68198,54937,54937,1172784,6136,278234,-147796,20828,268709,48141,88352,777884,186767,591117,189534,98651,-16416,0,4074,103225,0,-79004,1108408,1949,858095,546652,392218,-80775,92544,97924,-5380,248266,-20235,52865,182995,1992,1489,-637,29797,0,-92447,64377,-8252,0,-17691,-9440,3730,9421,-4776,-916,-760778,77975,-2,-823833,-14918,-1038307,-354,-239064,-754516,-44373,0,0,281259,354013,21444294,620330,331529,246459,42342,20823964,611615,5612356,892652,319740,2348280,761184,1290500,8415205,3714871,4700334,4689655,10679,4317183,2895574,97694,0,107686,1216229,0,1867605,21444294,22233750,27610,9156789,5509001,2583536,1064252,2129844,2118457,11387,8909298,2265075,1945990,4118082,39080,59607,18595,462869,0,2010209,-789456
2003,419962,71232,348730,243706,206770,36936,17555,87469,131781,87469,636306,557332,67392,11582,591995,468261,121765,77745,44020,1969,0,131781,23164,12723,95893,95893,95893,95893,0,17708,88940,71232,78185,78185,2116608,-37231,580934,-70491,-7384,255966,44541,358302,761949,95653,666296,283147,196086,-6579,0,11293,82347,0,527810,2012524,-7105,1032790,586245,491131,-44586,269156,267439,1717,173545,-225054,58989,282752,3203,20171,481,33003,0,544138,104084,8296,0,-17603,-25899,3757,8332,-3836,-740,1023213,-11557,284,969962,64524,1569072,-40,592612,961263,15237,0,0,-542102,-437913,24430262,633122,336885,253808,42429,23797140,574384,6018433,819700,308359,2426736,809723,1653915,9175215,3796525,5378690,5365679,13011,5634816,4061622,91115,0,183503,1298576,0,2394293,24430262,25657631,20505,10064856,5944522,3008668,1111666,2398960,2385896,13064,10651955,2040021,2597591,5362097,42283,95015,19076,495872,0,2521355,-1227369
2004,395743,75536,320207,272541,231602,40939,19298,28368,74648,28368,844087,740625,88343,15119,797808,599531,197610,156574,41036,667,0,74648,26293,1134,47222,47222,47221,47222,0,30821,106357,75536,16400,16400,2373872,97798,64894,97679,-63292,-228278,8912,249873,1203729,529518,674211,543098,282910,-24855,0,22229,262814,0,464354,2241790,-2121,791942,115766,578542,97634,467702,469012,-1310,361630,-138321,123294,288143,2505,17641,-266,68634,0,622637,132083,74051,-1193,-40439,-115683,35770,31153,4909,-292,596362,-18478,-623,575026,40437,724189,-135,191241,543861,-10778,0,0,-92057,29215,27465195,683110,363040,276212,43858,26782085,672182,6076848,929215,241184,2191804,822679,1891966,10393168,4326042,6067126,6052200,14926,6793377,4919558,66260,0,246169,1561390,0,2846510,27465195,28663349,18384,10871646,6060288,3602058,1209300,2866527,2854908,11619,11748614,1901700,2922831,6194101,44788,101878,18810,564506,0,3158178,-1198154
2005,466622,81322,385300,295533,248435,47098,21197,68571,91803,68571,1144807,1023355,123520,-2069,1121574,907981,209443,168527,40916,4150,0,91803,30903,3014,57887,57887,57887,57887,0,32956,114278,81322,24931,24931,2201618,6122,117309,189239,27155,-255409,45923,110401,1347038,420149,926889,437640,245382,42264,0,52,149942,0,293509,2136297,780,1041431,80424,707310,253697,396285,393470,2815,543033,125121,64359,286040,1909,1484,155,63965,0,154768,65322,14199,-798,-25394,-40391,36488,36047,181,260,414966,-42724,926,436105,20659,516036,592,116769,384412,14263,0,0,-64582,7503,30035198,737226,394671,297131,45424,29297972,678304,6152733,1120179,267549,1922913,866273,1975819,11741132,4746191,6994941,6980341,14600,7687781,5601045,108524,0,266880,1711332,0,3038022,30035198,31225849,19164,11858576,6140712,4254867,1462997,3263404,3248378,15026,12807091,2026821,3103959,6864553,46697,117625,18965,628471,0,3277614,-1190651
2006,515423,86831,428593,328773,278918,49855,22893,76927,120486,76927,1597420,1435637,137928,23855,1553861,1331282,224440,180916,43524,-1861,0,120486,36107,12769,71610,71610,71610,71610,0,28265,115096,86831,43345,43345,3173975,87021,715663,238657,17398,91839,75828,291941,1299814,312532,987282,450546,226369,1240,0,22698,200239,-357,621288,3084620,-192,1325112,328218,720783,276111,483270,478541,4729,787382,311630,72742,346153,181,-4005,-1988,62669,0,489048,89356,66232,0,20221,-46011,33557,31484,1832,241,903511,-55788,617,894481,64201,1406512,164,541696,848998,15654,0,0,-469444,-331602,34090988,788954,421433,319965,47556,33302034,765325,6795583,1340246,281920,1982227,941899,2249291,13012458,5036118,7976340,7960301,16039,9056805,6721895,56764,0,391267,1886879,15160,3656703,34090988,35613241,18972,13154415,6468930,4946377,1739108,3746838,3726919,19919,14976499,2338451,3695223,8059704,46878,152782,16977,666484,0,3716517,-1522253
2007,410047,93182,316865,356562,305892,50670,23593,-63290,9908,-63290,1959196,1759914,180674,18608,1885998,1612537,269546,235023,34523,3915,0,9908,32380,9218,-31690,-31690,-31690,-31690,0,43426,136608,93182,-75116,-75116,3483050,180964,730261,-143220,211366,322597,144102,195416,1716491,931239,785252,602615,293147,61314,0,51266,196888,5290,247429,3506475,1921,1487022,905680,760333,-178991,541072,537522,3550,1342409,747309,170068,376098,9093,-159,5253,34747,0,134051,-23425,128360,0,76669,-51691,15696,17619,-2202,279,529186,-29058,2382,511679,44183,-67640,1385,-551619,478606,3988,0,0,612522,709192,38249184,833566,437851,341683,54032,37415618,946289,7501786,1200593,496987,2330012,1047373,2426821,14711115,5969905,8741210,8723258,17952,10225214,7526721,118078,0,496648,2083767,20450,4010764,38249184,39062245,20893,14752082,7374610,5817355,1560117,4289295,4264441,24854,16257455,3085760,3313538,8914408,55971,164317,22230,701231,0,3742520,-813061
2008,242784,98347,144437,356553,303352,53201,22087,-234204,-134931,-234204,1627442,1415967,187061,24414,1528170,1231073,296597,279806,16791,500,0,-134931,13374,9213,-157518,-157518,-142653,-157518,-14865,19557,117904,98347,-162210,-162210,-497195,237984,712159,-102543,521897,713138,2762,-423095,-287395,-466712,179317,152629,52641,28890,0,39377,31721,-1161,-1311411,-69727,-5397,361648,768741,-223521,-183572,-549581,-552093,2512,1355462,746477,594792,-57924,-4204,65476,-445,11290,0,-1231859,-427468,-208055,-282,57485,265258,29652,27810,1348,495,-3633346,-161177,2113,-3223275,-251007,-4927960,928,-1785095,-3068083,-75710,0,0,1324266,973558,34127384,869542,464363,344996,60183,33257842,1219273,8035726,1099487,1038383,3110568,988330,1798958,14332023,5503192,8828831,8810719,18112,6922849,4356087,146968,0,304306,2115488,19289,2728682,34127384,33966887,15496,15033258,8143351,5513362,1376545,3740642,3712348,28294,12644955,3832237,2122905,5788401,51767,115339,21785,712521,0,2532536,160497
2009,403000,98415,304585,281569,239763,41806,28633,-5617,46692,-5617,988714,826272,143544,18898,936405,660797,273794,205122,68672,1814,0,46692,16265,36276,-5849,-5849,92621,-5849,-98470,-10646,87769,98415,103268,103268,-1137969,100649,-827620,-369787,-80855,-539435,9672,152785,-538630,-687898,149268,296137,165426,-3420,0,19347,114784,2063,-170568,-1146874,401,-947261,-60053,-433539,-453669,-782685,-784427,1742,456148,-516344,413872,533453,0,13227,1250,10690,0,126524,8904,258757,0,353120,94363,-21467,-20896,770,-1340,1653216,154513,94,1404334,94275,1382243,-367,-113330,1474875,21669,0,-604,249506,600884,34732325,829088,440363,322301,66424,33903237,1358988,7355280,729591,927232,2591561,1051919,2054977,13577453,4769745,8807708,8785331,22377,8243762,5925847,143548,0,407588,1766779,21352,3346402,34732325,33970944,15897,13931208,8083298,4925034,922876,2957590,2927921,29669,14284047,3315893,2709899,7796729,51767,150959,23035,235765,0,2782202,761381
2010,471211,97674,373537,300371,254679,45692,28533,44633,152789,44633,920628,694760,163323,62545,812471,546194,260630,177483,83147,5647,0,152789,21991,31559,99240,99240,140721,99240,-41481,4583,102257,97674,136138,136138,-364330,-106534,23493,-65084,116021,-216952,-16090,205598,-104835,26314,-131149,140174,129076,2239,57,19243,-10441,3753,-320381,-331446,-1496,-578992,-39534,-248069,-291389,182003,173743,8260,115774,-526881,240365,395761,-2746,18121,6162,-15008,0,-48735,-32884,-115329,-2097,55790,169022,2999,825,2661,-487,884200,53549,577,810787,19287,1057543,639,201261,837359,20304,0,-2020,-170344,-144952,34469579,827335,434998,323310,69027,33642244,1417777,6848255,588810,1082964,1964785,1049023,2162673,12951392,4530651,8420741,8401589,19152,9325766,6865539,240598,57,468906,1750666,25105,3073949,34469579,33853150,14401,12599207,7581337,4518927,498943,3152148,3113580,38568,15717506,3034465,3151421,9029849,49021,210488,29197,213065,0,2369888,616429
