date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU713011203.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793092305.A,FR793064105.A,FR793064205.A,FR793092105.A,FR593052025.A,FR794190085.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1960,20511,1144,19367,11396,10448,948,1536,6435,6606,6435,31736,29881,1805,50,31565,26225,5299,3657,1642,41,0,6606,2743,243,3618,3618,3618,3618,0,865,1970,1144,2753,2753,56713,-1689,264,11553,1599,1893,1256,2044,4761,26245,12123,14122,6356,6096,0,0,123,115,22,0,13201,783,52754,17686,5699,738,3236,1725,-753,-767,14,2177,0,874,1049,176,56,0,0,22,0,28315,-370,3959,1231,0,25,-1206,-255,-199,-54,-2,-1950,0,0,-1838,0,0,-112,-1795,0,60,159,-2,0,0,-2012,-410,4439,915753,16371,12383,3943,45,899382,17767,35670,247019,4465,121706,5513,34835,80500,317303,149828,167475,53489,50943,0,0,989,1148,409,0,216387,11747,915753,899436,355508,23616,8061,9780,5775,14557,14226,331,76309,0,55908,17026,1690,1276,0,0,409,0,408810,20636,16317
1961,21673,1181,20492,12295,11285,1010,1632,6564,6750,6564,33849,31935,1870,44,33664,28252,5355,3487,1868,57,0,6750,2784,240,3726,3726,3726,3726,0,812,1957,1181,2914,2914,65949,-878,2425,18426,482,7918,851,3850,5325,27101,10521,16580,5819,5534,0,0,118,131,36,0,12084,972,61220,27810,1952,703,722,527,1576,1535,41,492,0,-1357,1671,145,-3,0,0,36,0,28541,849,4729,1563,0,-252,-1815,90,152,-59,-3,5733,0,0,9187,0,0,-3454,26282,0,23967,4178,162,0,0,-2025,-20459,-15170,991228,17273,13209,3994,70,973955,16889,38016,265445,4947,129624,6364,38685,85825,344404,160349,184055,68495,65664,0,0,1107,1279,445,0,228015,12691,991228,990081,383318,25568,8764,10502,6302,16133,15761,372,105108,0,78518,22875,1835,1435,0,0,445,0,438328,21626,1147
1962,22383,1236,21147,12986,11819,1167,1668,6493,7174,6493,37981,35672,2257,52,37300,31611,5637,3822,1815,52,0,7174,2705,283,4186,4186,4186,4186,0,1007,2204,1236,3179,3179,76679,-911,2120,18206,1038,3588,1861,5758,5961,36095,15135,20960,7515,7124,204,0,19,146,22,0,11385,2270,73299,33737,3144,1637,331,1176,2564,2580,-16,1509,0,133,1250,49,55,0,0,22,0,28836,3509,3380,300,0,99,-201,147,200,-54,1,-8162,0,0,-10780,-10,0,2628,-10306,-2,-3856,-2854,-126,0,0,-3468,2291,6777,1055388,18427,14125,4200,102,1036961,15978,40225,283651,5985,133212,8225,44443,91786,380499,175484,205015,65220,62008,194,0,1126,1425,467,0,236420,14968,1055388,1047464,417055,28712,10401,10833,7478,18695,18341,354,99781,0,74795,21271,1884,1364,0,0,467,0,458092,25129,7924
1963,23119,1301,21818,13831,12522,1309,1841,6146,6847,6146,41716,39510,2139,67,41015,34834,6127,4137,1990,54,0,6847,2737,702,3408,3408,3408,3408,0,917,2177,1301,2491,2491,82676,-465,-821,12612,1318,106,480,4382,6326,47156,21657,25499,8011,7791,-20,0,45,165,30,0,13509,2674,81296,33509,4462,1648,1551,1263,3681,3663,18,1984,0,989,967,18,-20,0,0,30,0,32631,5029,1380,-1731,0,-620,1111,116,175,-61,1,2696,0,0,5938,19,0,-3261,11900,2,11767,2977,93,0,0,-2939,-9089,-7412,1142335,19459,15024,4292,143,1122876,15513,39420,296263,7303,133318,8705,48825,98112,427658,197144,230514,79188,75737,193,0,1171,1590,497,0,247769,17065,1142335,1141823,450564,33174,12049,12384,8741,22378,22004,374,116602,0,87551,25215,1902,1437,0,0,497,0,488888,30217,512
1964,25400,1391,24009,14899,13478,1421,2079,7031,6968,7031,46298,43509,2723,66,46360,38778,7507,5300,2207,75,0,6968,2685,890,3394,3394,3394,3394,0,1498,2845,1391,1896,1896,92296,-125,1494,16778,1244,3828,881,3578,7247,47775,21762,26013,9102,8624,209,0,56,186,27,0,14628,2644,89723,39445,5648,512,3141,1995,1812,1787,25,1207,0,-36,1190,28,-2,0,0,27,0,37699,3912,2573,538,0,-139,-677,447,531,-88,3,1147,0,0,4507,14,0,-3374,7437,0,8506,2711,100,0,0,-3880,-5843,-1911,1239438,21404,16418,4757,229,1218034,15388,40946,313041,8547,137146,9586,52403,105359,475446,218919,256527,92811,88868,416,0,1227,1776,524,0,260776,19626,1239438,1240837,490009,38822,12561,15525,10736,24690,24291,399,129126,0,96021,29116,1930,1535,0,0,524,0,524463,33727,-1399
1965,27524,1561,25963,15978,14395,1583,2190,7795,8215,7795,50936,47509,3357,70,50517,42609,7825,5333,2492,83,0,8215,2631,1051,4533,4533,4533,4533,0,1813,3321,1561,2720,2720,102334,-1655,1162,14202,827,-23,940,4696,7762,57334,30545,26789,10840,10519,26,0,50,218,27,0,18373,2079,99546,40781,4552,2154,1205,1193,5033,5039,-6,1581,0,-644,2150,99,-51,0,0,27,0,43246,4353,2788,-69,0,-137,-68,260,467,-199,-9,931,0,9,4350,38,-9,-3457,10126,0,10686,3954,31,0,0,-4545,-8935,-4471,1347240,23477,17765,5388,324,1323763,13733,42461,327243,9374,137123,10526,57099,113121,532789,249464,283325,108030,103737,480,0,1277,1985,551,0,278015,21492,1347240,1353110,531178,43374,14715,16730,11929,29723,29330,393,145378,0,106063,35220,2029,1515,0,0,551,0,565492,37965,-5870
1966,29943,1735,28208,17382,15562,1820,2324,8503,8075,8503,55924,52906,2941,77,56352,47993,8285,5667,2618,74,0,8075,2740,275,5061,5061,5061,5061,0,1789,3460,1735,3272,3272,99407,-574,3849,16934,2846,810,1444,2619,9215,44679,23887,20792,12234,11752,135,0,92,236,19,0,21636,649,96118,31222,10836,5503,1600,3733,1368,1389,-21,3230,0,387,2482,264,78,0,0,19,0,49480,-18,3289,338,0,321,-17,622,733,-100,-11,-12304,0,-1,-16271,-61,1,4028,-7805,0,1759,-2873,-161,0,0,-6530,-3877,1522,1440682,25888,19312,6159,417,1414794,13159,46286,344177,12220,137933,11970,59718,122336,577467,273351,304116,103933,99218,554,0,1369,2222,570,0,307696,22076,1440682,1445030,562400,54210,20218,18330,15662,31091,30719,372,147333,0,108209,34829,2293,1432,0,0,570,0,612462,37534,-4348
1967,33429,1929,31500,19274,17208,2066,2541,9684,8499,9684,61358,58325,2952,81,62543,53654,8802,5916,2886,87,0,8499,3164,454,4880,4880,4880,4880,0,1944,3798,1929,2936,2936,133534,-1177,4244,38796,3026,9550,3244,10442,12534,47082,26606,20476,14960,14612,42,0,26,252,28,0,25410,4219,120917,59024,3837,120,968,2749,2324,2307,17,462,0,-730,1095,78,-9,0,0,28,0,54050,1220,12617,9291,0,-390,-9681,649,640,14,-4,7032,0,1,13179,104,-1,-6252,14226,3,10169,8384,83,0,0,-4413,-6545,7625,1586378,28481,20782,7157,542,1557897,11982,50747,382973,15246,147483,15214,70160,134870,624573,299957,324616,132175,127009,700,0,1395,2473,598,0,329616,25831,1586378,1583101,621424,58047,20338,19298,18411,33418,33026,392,166431,0,117648,44308,2371,1506,0,0,598,0,665048,38733,3277
1968,37388,2210,35178,21665,19423,2242,2812,10702,9957,10702,71578,66438,5030,110,72323,60389,11841,8623,3218,93,0,9957,3630,797,5531,5531,5531,5531,0,2803,4927,2210,2728,2728,140502,-1615,5406,30710,2474,6617,2767,9529,9323,54122,29085,25037,19506,19029,129,0,8,308,32,0,29403,2971,143604,54687,7349,3767,597,2985,8297,8277,20,3392,0,988,2512,-153,13,0,0,32,0,61443,8436,-3102,-5803,0,27,5830,1440,1434,4,2,-253,0,5,4927,29,-5,-5209,25855,-2,27847,4412,55,0,0,-6457,-24669,-24941,1740417,32723,23504,8523,696,1707694,10367,56022,413683,17720,154100,17981,79689,144193,678416,329042,349374,156632,150965,858,0,1403,2776,630,0,363368,29206,1740417,1762081,676111,65396,24105,19895,21396,41713,41303,410,202137,0,146483,51232,2218,1574,0,0,630,0,729595,47129,-21664
1969,42119,2569,39551,23822,21422,2400,3194,12535,10420,12535,84545,78779,5639,127,86660,73497,13086,10035,3051,77,0,10420,3614,1262,5546,5546,5546,5546,0,2831,5301,2569,2715,2715,144620,0,224,11174,8938,-9832,1623,1549,8896,68477,42075,26402,25877,21177,610,0,75,376,39,3600,37109,1759,146012,20013,22055,9744,957,11354,8973,9003,-30,12404,0,5135,3331,208,91,0,3600,39,0,73008,9559,-1392,-4585,0,-478,4106,1705,1546,144,15,-21313,0,5,-25847,-203,-5,4737,-40197,-1,-23037,-6975,-206,0,0,-9978,20589,21550,1876465,37259,26242,10121,896,1839206,10367,56572,424417,26658,144268,19604,81238,152649,747027,371646,375381,156454,146295,1265,0,1478,3147,669,3600,413917,30452,1876465,1876579,691428,87451,33849,20852,32750,50685,50306,379,184323,0,128581,47588,2426,1459,0,3600,669,0,801332,61360,-114
