date,FU216902505.A,FU216300001.A,FU216902605.A,FU216025001.A,FU216020001.A,FU216401005.A,FU216402101.A,FU216140005.A,FU216402101.A,FU216240001.A,FU216402015.A,FU216150195.A,FU216130101.A,FU216121101.A,FU216112101.A,FU216130095.A,FU216140005.A,FU216220005.A,FU216601001.A,FU216404001.A,FU216403105.A,FU216403001.A,FU216012005.A,FU216901001.A,FU216006095.A,FU216006395.A,FU216006095.A,FU215440005.A,FU215050905.A,FU215019001.A,FU216300001.A,FU215420003.A,FU215000995.A,FU215000995.A,FU214090005.A,FU214000005.A,FU213020005.A,FU213030000.A,FU214022005.A,FU213069103.A,FU213061103.A,FU213061703.A,FU213062003.A,FU213063003.A,FU214035005.A,FU212051003.A,FU214023005.A,FU213081005.A,FU213034003.A,FU213064103.A,FU213064203.A,FU213096005.A,FU213070003.A,FU213078005.A,FU213093003.A,FU214190005.A,FU213162005.A,FU213162400.A,FU213162200.A,FU213169203.A,FU223073045.A,FU213170003.A,FU215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215015605.A,FR215013265.A,FR215013765.A,FR213081005.A,FR223073045.A,FR218200005.A,FC212090095.A,FL212000095.A,LM212010095.A,LM215015605.A,LM215013265.A,LM215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030000.A,FL214022005.A,FL213069103.A,FL213061103.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL214023005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
1960,33600,4526,29074,27911,25137,2774,1163,30386,1163,31475,-0,1323,1047,0,276,3575,30386,5479,461,4561,4290,0,36055,33539,2517,5523,2517,-3006,10446,14107,4526,865,-4923,-4923,2628,1365,-13,1378,1434,0,897,504,33,0,-560,-752,192,0,0,0,0,389,339,-1,51,8509,5310,284,5026,205,2074,920,-5881,-5112,0,-4154,958,-379,-394,8,7,0,-15,-364,46,241498,204261,198364,5123,774,37237,13023,8466,4557,17536,0,13739,1050,2747,0,1406,-176,1582,0,0,0,0,5272,4214,535,523,241498,128227,70971,3457,67514,1240,48515,7501,113271
1961,36571,4789,31782,30552,27401,3151,1230,32505,1230,33807,-0,1417,1061,0,356,3949,32505,5846,492,4982,4941,0,38802,36606,2196,5486,2196,-3290,11455,15252,4789,992,-5969,-5969,2399,880,-28,908,749,0,263,470,16,0,388,121,267,0,0,0,0,382,307,90,-15,8924,5378,236,5142,226,2325,995,-6525,-4738,0,-4183,556,1987,1990,-11,9,0,-149,2136,2884,256348,216712,210372,5485,855,39636,13903,8438,5465,18285,0,14002,1520,2763,0,1794,-55,1849,0,0,0,0,5654,4521,625,508,256348,140193,76349,3693,72656,1466,53882,8496,116155
1962,39253,5135,34118,32819,29717,3102,1299,34534,1299,36251,-0,1538,1113,0,425,4554,34534,6528,548,5340,5453,0,41723,38672,3052,6577,3052,-3525,12019,16097,5135,1057,-5442,-5442,3384,1077,92,985,1312,0,1155,347,-190,0,772,521,251,0,0,0,0,223,323,27,-127,9831,5451,-11,5462,504,2829,1047,-6447,3380,0,4386,1005,4362,4376,-21,7,0,96,4266,14223,275056,232036,225234,5856,946,43020,14980,8530,6450,19597,0,15157,1867,2573,0,2566,466,2100,0,0,0,0,5877,4844,652,381,275056,144678,81800,3682,78118,1970,51365,9543,130378
1963,42665,5506,37159,35629,32095,3534,1530,36854,1530,38700,-12,1637,1245,0,392,5001,36854,7067,629,5697,5973,0,44826,41549,3278,7420,3278,-4142,13414,17769,5506,1151,-5995,-5995,3507,2579,936,1643,1453,0,1157,535,-239,0,-1014,-1211,197,0,0,0,0,489,464,78,-53,9719,5240,446,4794,233,3104,1142,-6212,-2651,0,-2434,217,3587,3536,42,10,0,-291,3878,8646,294414,247887,240427,6396,1064,46527,17559,9466,8093,21050,0,16314,2402,2334,0,1552,-745,2297,0,0,0,0,6366,5308,730,328,294414,155390,87040,4128,82912,2203,55462,10685,139024
1964,46401,5910,40490,38863,35024,3839,1627,39942,1627,41845,-10,1911,1485,0,426,5431,39942,7928,682,6154,6755,0,49153,45233,3920,8641,3920,-4721,14622,19274,5910,1258,-5981,-5981,4190,2981,1262,1719,1438,0,1019,530,-111,0,-786,-1013,227,0,0,0,0,557,532,44,-19,10731,6120,761,5359,261,3102,1248,-6541,-3772,0,-3212,560,3310,3273,23,14,0,-229,3538,8407,315277,264560,256340,7022,1198,50717,20540,10728,9812,22488,0,17333,2932,2223,0,766,-1758,2524,0,0,0,0,6923,5840,774,309,315277,167846,93160,4889,88271,2464,60289,11933,147431
1965,50780,6427,44353,42689,38410,4279,1663,43257,1663,45282,-18,2198,1751,0,447,5869,43257,8573,758,6651,7421,0,53358,49693,3665,8412,3665,-4747,16032,21165,6427,1294,-7620,-7620,6177,1797,-577,2374,2303,0,2191,168,-56,0,1239,1050,189,0,0,0,0,838,763,77,-2,12457,7237,618,6619,313,3526,1381,-6280,-2649,0,-3990,-1341,8970,8888,67,15,0,-149,9118,14881,345160,288266,279209,7708,1349,56894,22337,10151,12186,24791,0,19524,3100,2167,0,2005,-708,2713,0,0,0,0,7761,6603,851,307,345160,182848,100397,5507,94890,2777,66360,13314,162312
1966,56330,7091,49239,47657,42549,5108,1583,46507,1583,48762,-24,2618,2091,0,527,6432,46507,10006,821,7621,10404,0,60117,55391,4726,9870,4726,-5144,17759,23479,7091,1371,-7889,-7889,4087,1816,540,1276,-208,0,573,-739,-42,0,1688,1513,175,0,0,0,0,791,641,5,145,11607,6236,661,5575,627,3209,1535,-7520,-5299,0,-5668,-369,14002,13771,210,21,0,188,13814,18385,379638,318657,308507,8612,1538,60981,24153,10691,13462,24583,0,20097,2361,2125,0,3693,805,2888,0,0,0,0,8552,7244,856,452,379638,198941,106633,6168,100465,3404,74055,14849,180697
1967,62156,7766,54390,52839,47371,5468,1551,50140,1551,52773,-26,3001,2365,0,636,7159,50140,11200,877,9232,12314,0,65299,61291,4009,9097,4009,-5088,19337,25722,7766,1381,-10240,-10240,3470,3166,736,2430,35,0,-355,390,0,0,-434,-549,115,0,0,0,0,703,578,125,0,13234,7151,1823,5328,175,4221,1687,-9764,-4018,0,-4494,-476,12159,11833,290,37,0,-431,12590,17669,413224,348773,337432,9579,1762,64451,27319,11427,15892,24618,0,19742,2751,2125,0,3259,256,3003,0,0,0,0,9255,7822,981,452,413224,214858,113793,8000,105793,3579,80950,16536,198366
1968,70256,8600,61656,60178,53543,6635,1478,56226,1478,59535,-27,3476,2759,0,717,8236,56226,13862,942,11446,13319,0,72903,69435,3468,10309,3468,-6841,20943,28128,8600,1414,-10634,-10634,5903,2557,-661,3218,3636,0,184,3406,46,0,-1337,-1529,192,0,0,0,0,1047,947,185,-85,15806,8443,143,8300,310,5182,1871,-9903,-10509,0,-11240,-731,18525,18139,298,89,0,-582,19107,18906,457181,386827,374222,10563,2042,70354,29876,10766,19110,28254,0,19926,6157,2171,0,1922,-1273,3195,0,0,0,0,10302,8769,1166,367,457181,239909,122132,8143,113989,3993,95377,18407,217272
1969,78530,9645,68885,67459,59560,7899,1426,62616,1426,66044,-25,4341,3574,0,767,9170,62616,16416,1026,13217,15257,0,82098,78973,3124,9967,3124,-6843,20154,28818,9645,981,-10187,-10187,5954,-4011,1879,-5890,4497,0,3081,1351,65,0,4329,3872,457,0,0,0,0,1139,1239,10,-110,20224,11386,2766,8620,746,6068,2024,-14270,-15069,0,-10986,4083,31791,31203,468,120,0,288,31503,26401,514108,437800,423629,11790,2381,76308,25865,12645,13220,32751,0,23007,7508,2236,0,6251,2599,3652,0,0,0,0,11441,10008,1176,257,514108,270435,133518,10909,122609,4739,111747,20431,243673
